gs://candlebucket/run41/410316600 12_50_00 ZERO.gif,ZERO
gs://candlebucket/run41/410316900 12_55_00 ZERO.gif,ZERO
gs://candlebucket/run41/410317200 01_00_00 ZERO.gif,ZERO
gs://candlebucket/run41/410317500 01_05_00 ZERO.gif,ZERO
gs://candlebucket/run41/410317800 01_10_00 ZERO.gif,ZERO
gs://candlebucket/run41/410318100 01_15_00 ZERO.gif,ZERO
gs://candlebucket/run41/410318400 01_20_00 ZERO.gif,ZERO
gs://candlebucket/run41/410318700 01_25_00 ZERO.gif,ZERO
gs://candlebucket/run41/410319000 01_30_00 ZERO.gif,ZERO
gs://candlebucket/run41/410319300 01_35_00 ZERO.gif,ZERO
gs://candlebucket/run41/410319600 01_40_00 ZERO.gif,ZERO
gs://candlebucket/run41/410319900 01_45_00 ZERO.gif,ZERO
gs://candlebucket/run41/410320200 01_50_00 SHORT.gif,SHORT
gs://candlebucket/run41/410320500 01_55_00 SHORT.gif,SHORT
gs://candlebucket/run41/410320800 02_00_00 ZERO.gif,ZERO
gs://candlebucket/run41/410321100 02_05_00 ZERO.gif,ZERO
gs://candlebucket/run41/410321400 02_10_00 ZERO.gif,ZERO
gs://candlebucket/run41/410321700 02_15_00 SHORT.gif,SHORT
gs://candlebucket/run41/410322000 02_20_00 SHORT.gif,SHORT
gs://candlebucket/run41/410322300 02_25_00 SHORT.gif,SHORT
gs://candlebucket/run41/410322600 02_30_00 SHORT.gif,SHORT
gs://candlebucket/run41/410322900 02_35_00 SHORT.gif,SHORT
gs://candlebucket/run41/410323200 02_40_00 ZERO.gif,ZERO
gs://candlebucket/run41/410323500 02_45_00 SHORT.gif,SHORT
gs://candlebucket/run41/410323800 02_50_00 SHORT.gif,SHORT
gs://candlebucket/run41/410324100 02_55_00 SHORT.gif,SHORT
gs://candlebucket/run41/410324400 03_00_00 SHORT.gif,SHORT
gs://candlebucket/run41/410324700 03_05_00 SHORT.gif,SHORT
gs://candlebucket/run41/410325000 03_10_00 SHORT.gif,SHORT
gs://candlebucket/run41/410325300 03_15_00 SHORT.gif,SHORT
gs://candlebucket/run41/410325600 03_20_00 SHORT.gif,SHORT
gs://candlebucket/run41/410325900 03_25_00 SHORT.gif,SHORT
gs://candlebucket/run41/410326200 03_30_00 SHORT.gif,SHORT
gs://candlebucket/run41/410326500 03_35_00 SHORT.gif,SHORT
gs://candlebucket/run41/410326800 03_40_00 SHORT.gif,SHORT
gs://candlebucket/run41/410327100 03_45_00 SHORT.gif,SHORT
gs://candlebucket/run41/410327400 03_50_00 SHORT.gif,SHORT
gs://candlebucket/run41/410327700 03_55_00 SHORT.gif,SHORT
gs://candlebucket/run41/410328000 04_00_00 SHORT.gif,SHORT
gs://candlebucket/run41/410328300 04_05_00 SHORT.gif,SHORT
gs://candlebucket/run41/410328600 04_10_00 SHORT.gif,SHORT
gs://candlebucket/run41/410328900 04_15_00 SHORT.gif,SHORT
gs://candlebucket/run41/410329200 04_20_00 SHORT.gif,SHORT
gs://candlebucket/run41/410329500 04_25_00 SHORT.gif,SHORT
gs://candlebucket/run41/410329800 04_30_00 SHORT.gif,SHORT
gs://candlebucket/run41/410330100 04_35_00 SHORT.gif,SHORT
gs://candlebucket/run41/410330400 04_40_00 LONG.gif,LONG
gs://candlebucket/run41/410330700 04_45_00 LONG.gif,LONG
gs://candlebucket/run41/410331000 04_50_00 LONG.gif,LONG
gs://candlebucket/run41/410331300 04_55_00 ZERO.gif,ZERO
gs://candlebucket/run41/410331600 05_00_00 ZERO.gif,ZERO
gs://candlebucket/run41/410331900 05_05_00 ZERO.gif,ZERO
gs://candlebucket/run41/410332200 05_10_00 ZERO.gif,ZERO
gs://candlebucket/run41/410332500 05_15_00 ZERO.gif,ZERO
gs://candlebucket/run41/410332800 05_20_00 ZERO.gif,ZERO
